Method,Name,Error,Occurrences
PUT,Cerrar Mesa,CatchResponseError('Fallo al cerrar mesa 6'),106
POST,Agregar Item,CatchResponseError('Fallo al agregar item 1 en mesa 3'),67
PUT,Cerrar Mesa,CatchResponseError('Fallo al cerrar mesa 8'),72
POST,Agregar Item,CatchResponseError('Fallo al agregar item 3 en mesa 2'),81
POST,Agregar Item,CatchResponseError('Fallo al agregar item 3 en mesa 3'),76
POST,Agregar Item,CatchResponseError('Fallo al agregar item 1 en mesa 4'),76
POST,Agregar Item,CatchResponseError('Fallo al agregar item 4 en mesa 7'),78
POST,Agregar Item,CatchResponseError('Fallo al agregar item 4 en mesa 4'),67
GET,/Pedidos/5925,HTTPError('500 Server Error: Internal Server Error for url: /Pedidos/5925'),4
POST,Agregar Item,CatchResponseError('Fallo al agregar item 4 en mesa 12'),74
PUT,Abrir Mesa,CatchResponseError('Fallo al abrir mesa 11'),1
POST,Agregar Item,CatchResponseError('Fallo al agregar item 2 en mesa 9'),79
PUT,Abrir Mesa,CatchResponseError('Fallo al abrir mesa 3'),1
POST,Agregar Item,CatchResponseError('Fallo al agregar item 3 en mesa 7'),91
PUT,Cerrar Mesa,CatchResponseError('Fallo al cerrar mesa 9'),90
POST,Agregar Item,CatchResponseError('Fallo al agregar item 3 en mesa 9'),58
POST,Agregar Item,CatchResponseError('Fallo al agregar item 2 en mesa 12'),73
PUT,Cerrar Mesa,CatchResponseError('Fallo al cerrar mesa 2'),67
POST,Agregar Item,CatchResponseError('Fallo al agregar item 1 en mesa 11'),71
POST,Agregar Item,CatchResponseError('Fallo al agregar item 2 en mesa 3'),90
POST,Agregar Item,CatchResponseError('Fallo al agregar item 4 en mesa 9'),84
GET,/Categorias,HTTPError('500 Server Error: Internal Server Error for url: /Categorias'),6
PUT,Cerrar Mesa,CatchResponseError('Fallo al cerrar mesa 7'),101
POST,Agregar Item,CatchResponseError('Fallo al agregar item 3 en mesa 1'),91
PUT,Cerrar Mesa,CatchResponseError('Fallo al cerrar mesa 10'),118
POST,Agregar Item,CatchResponseError('Fallo al agregar item 3 en mesa 13'),83
GET,/Mesas,HTTPError('500 Server Error: Internal Server Error for url: /Mesas'),2
POST,Agregar Item,CatchResponseError('Fallo al agregar item 1 en mesa 8'),104
POST,Agregar Item,CatchResponseError('Fallo al agregar item 1 en mesa 1'),83
POST,Agregar Item,CatchResponseError('Fallo al agregar item 3 en mesa 12'),88
POST,Agregar Item,CatchResponseError('Fallo al agregar item 4 en mesa 2'),72
POST,Agregar Item,CatchResponseError('Fallo al agregar item 4 en mesa 13'),93
PUT,Abrir Mesa,CatchResponseError('Fallo al abrir mesa 5'),1
POST,Agregar Item,CatchResponseError('Fallo al agregar item 1 en mesa 5'),83
POST,Agregar Item,CatchResponseError('Fallo al agregar item 2 en mesa 5'),117
POST,Agregar Item,CatchResponseError('Fallo al agregar item 4 en mesa 1'),100
POST,Agregar Item,CatchResponseError('Fallo al agregar item 1 en mesa 12'),103
POST,Agregar Item,CatchResponseError('Fallo al agregar item 1 en mesa 9'),81
PUT,Abrir Mesa,CatchResponseError('Fallo al abrir mesa 10'),6
PUT,Cerrar Mesa,CatchResponseError('Fallo al cerrar mesa 1'),77
POST,Agregar Item,CatchResponseError('Fallo al agregar item 2 en mesa 8'),75
PUT,Cerrar Mesa,CatchResponseError('Fallo al cerrar mesa 4'),108
POST,Agregar Item,CatchResponseError('Fallo al agregar item 3 en mesa 11'),66
POST,Agregar Item,CatchResponseError('Fallo al agregar item 1 en mesa 2'),81
POST,Agregar Item,CatchResponseError('Fallo al agregar item 1 en mesa 7'),76
PUT,Cerrar Mesa,CatchResponseError('Fallo al cerrar mesa 3'),78
GET,/Productos,HTTPError('500 Server Error: Internal Server Error for url: /Productos'),1
PUT,Cerrar Mesa,CatchResponseError('Fallo al cerrar mesa 5'),104
POST,Agregar Item,CatchResponseError('Fallo al agregar item 2 en mesa 13'),73
PUT,Abrir Mesa,CatchResponseError('Fallo al abrir mesa 4'),15
POST,Agregar Item,CatchResponseError('Fallo al agregar item 2 en mesa 11'),82
POST,Agregar Item,CatchResponseError('Fallo al agregar item 4 en mesa 11'),74
POST,Agregar Item,CatchResponseError('Fallo al agregar item 1 en mesa 13'),92
POST,Agregar Item,CatchResponseError('Fallo al agregar item 3 en mesa 4'),77
POST,Agregar Item,CatchResponseError('Fallo al agregar item 2 en mesa 2'),81
POST,Agregar Item,CatchResponseError('Fallo al agregar item 4 en mesa 5'),83
POST,Agregar Item,CatchResponseError('Fallo al agregar item 4 en mesa 8'),82
POST,Agregar Item,CatchResponseError('Fallo al agregar item 2 en mesa 1'),81
POST,Agregar Item,CatchResponseError('Fallo al agregar item 3 en mesa 5'),86
POST,Agregar Item,CatchResponseError('Fallo al agregar item 3 en mesa 8'),109
POST,Agregar Item,CatchResponseError('Fallo al agregar item 2 en mesa 4'),75
PUT,Cerrar Mesa,CatchResponseError('Fallo al cerrar mesa 11'),84
POST,Agregar Item,CatchResponseError('Fallo al agregar item 4 en mesa 3'),69
POST,Agregar Item,CatchResponseError('Fallo al agregar item 2 en mesa 7'),85
