run;transfer_MB;bandwidth_Mbps;hops;avg_loss_pct;avg_latency_ms;avg_best_ms;avg_worst_ms;avg_stdev_ms;interfaz;rx_pps;tx_pps
1;107;89.7;8;18,75;15,00;14,75;14,00;16,62;enp0s31f6;704;709
2;105;88.2;8;13,75;14,62;15,50;14,00;18,50;enp0s31f6;4578;4557
3;109;91.3;8;12,50;14,62;14,75;14,12;16,75;enp0s31f6;1302;1304
4;108;90.8;8;11,25;14,50;15,88;14,00;25,38;enp0s31f6;5040;4770
5;108;90.2;8;15,00;14,88;15,25;14,25;18,75;enp0s31f6;3617;3641
6;110;92.3;8;15,00;15,38;12,88;11,50;17,00;enp0s31f6;2340;2313
7;109;91.6;8;16,25;17,00;15,25;14,00;18,50;enp0s31f6;2078;2136
8;109;91.5;8;15,00;14,50;14,62;13,75;15,62;enp0s31f6;2280;2324
9;109;91.0;8;15,00;15,12;15,00;14,00;16,38;enp0s31f6;860;864
10;97.8;82.0;8;13,75;14,62;15,12;14,00;18,38;enp0s31f6;0;0
