Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/Categorias,28800,5,5,7.761431520818102,2.1034000019426458,300.86840000149095,122.99895833333333,38.9978851187499,0.006770466166449635,5,6,7,8,16,20,23,27,130,270,300
GET,/Mesas,7320,3,6,8.268588497275395,2.6366999954916537,286.9404000011855,1270.7900273224043,9.911962467682265,0.004062279699869781,6,7,8,9,17,20,24,28,120,290,290
GET,/Pedidos/5925,22002,2,6,8.58432772930188,2.5726000021677464,301.1207000017748,359.9672757022089,29.792759318844972,0.0027081864665798538,6,7,8,9,18,21,25,29,130,230,300
GET,/Productos,28799,0,6,8.448565578665661,2.699700002267491,336.81809999688994,754.0,38.99653102551661,0.0,6,7,8,9,17,21,25,28,130,330,340
PUT,Abrir Mesa,28799,0,10,12.36095870340354,5.526300003111828,246.50910000491422,166.34022014653286,38.99653102551661,0.0,10,11,12,13,22,27,31,36,140,240,250
POST,Agregar Item,72039,575,9,11.734425904025453,4.844899995077867,248.9595000006375,105.96678188203612,97.54752243297305,0.778603609141708,9,10,11,13,22,26,31,35,140,230,250
PUT,Cerrar Mesa,28797,111,9,11.79937944575207,5.059600000095088,246.1680999986129,61.036357953953534,38.993822839050026,0.1503043488951819,9,10,12,13,22,26,31,34,130,240,250
,Aggregated,216556,696,8,10.42383587477828,2.1034000019426458,336.81809999688994,261.6451910822143,293.2370142283334,0.9424488903697892,8,10,11,12,19,24,29,33,130,240,340
