run;latencia_ms_promedio;threads;block_size;total_size;total_operations;total_time_s;min_latency_ms;avg_latency_ms;max_latency_ms;swpd_avg;free_avg;buff_avg;cache_avg;si_avg;so_avg
1;0,000016;1;1024KiB;128MiB;128;0.0056;0.04;0.04;0.06;0;15332464;21264;530652;0;0
2;0,000016;1;1024KiB;128MiB;128;0.0056;0.04;0.04;0.07;0;15318560;21348;532020;0;0
3;0,000016;1;1024KiB;128MiB;128;0.0056;0.04;0.04;0.09;0;15312728;21444;533604;0;0
4;0,000016;1;1024KiB;128MiB;128;0.0056;0.04;0.04;0.08;0;15331556;21532;535088;0;0
5;0,000016;1;1024KiB;128MiB;128;0.0056;0.04;0.04;0.11;0;15300256;21684;537028;0;0
6;0,000016;1;1024KiB;128MiB;128;0.0055;0.04;0.04;0.07;0;15313120;21764;538424;0;0
7;0,000016;1;1024KiB;128MiB;128;0.0055;0.04;0.04;0.09;0;15297912;21856;540116;0;0
8;0,000016;1;1024KiB;128MiB;128;0.0055;0.04;0.04;0.08;0;15324648;21944;541600;0;0
9;0,000016;1;1024KiB;128MiB;128;0.0055;0.04;0.04;0.07;0;15308300;22032;542936;0;0
10;0,000016;1;1024KiB;128MiB;128;0.0056;0.04;0.04;0.09;0;15295224;22176;545388;0;0
11;0,000016;1;1024KiB;128MiB;128;0.0056;0.04;0.04;0.08;0;15286648;22308;547124;0;0
12;0,000016;1;1024KiB;128MiB;128;0.0056;0.04;0.04;0.09;0;15297424;22396;548532;0;0
13;0,000016;1;1024KiB;128MiB;128;0.0056;0.04;0.04;0.09;0;15283476;22476;549884;0;0
14;0,000016;1;1024KiB;128MiB;128;0.0063;0.04;0.05;0.20;0;15292820;22568;551424;0;0
15;0,000016;1;1024KiB;128MiB;128;0.0057;0.04;0.04;0.05;0;15311752;22664;553036;0;0
16;0,000016;1;1024KiB;128MiB;128;0.0057;0.04;0.04;0.08;0;15285212;22840;555028;0;0
17;0,000016;1;1024KiB;128MiB;128;0.0058;0.04;0.04;0.05;0;15301252;22932;557072;0;0
18;0,000016;1;1024KiB;128MiB;128;0.0056;0.04;0.04;0.07;0;15274216;23024;558404;0;0
19;0,000016;1;1024KiB;128MiB;128;0.0057;0.04;0.04;0.08;0;15279764;23112;559548;0;0
20;0,000016;1;1024KiB;128MiB;128;0.0057;0.04;0.04;0.05;0;15272932;23208;560468;0;0
