run;transfer_MB;bandwidth_Mbps;hops;avg_loss_pct;avg_latency_ms;avg_best_ms;avg_worst_ms;avg_stdev_ms;interfaz;rx_pps;tx_pps
1;205;172;8;7,50;17,00;15,00;13,75;18,62;enp6s18;6049;6870
2;172;144;8;3,75;15,62;14,75;14,00;16,12;enp6s18;7469;8735
3;226;190;8;3,75;14,50;14,75;13,88;17,88;enp6s18;4120;4817
4;211;177;8;2,50;14,25;15,12;13,50;17,88;enp6s18;9342;10723
5;232;195;8;5,00;17,00;15,38;14,25;17,75;enp6s18;3907;4483
6;206;173;8;7,50;16,25;15,50;14,25;18,88;enp6s18;6924;7901
7;199;167;8;6,25;16,38;15,50;14,12;19,38;enp6s18;4635;5305
8;219;184;8;5,00;15,25;14,75;14,12;16,00;enp6s18;7352;8358
9;200;167;8;5,00;15,62;15,50;14,25;20,62;enp6s18;6128;6938
10;187;157;8;5,00;14,62;14,75;14,25;16,62;enp6s18;7337;8341
