run;latencia_ms_promedio;threads;block_size;total_size;total_operations;total_time_s;min_latency_ms;avg_latency_ms;max_latency_ms;swpd_avg;free_avg;buff_avg;cache_avg;si_avg;so_avg;mem_used;mem_free
1;0,000016;1;1024KiB;128MiB;128;0.0058;0.04;0.04;0.05;0;12604208;79992;2782656;0;0;1808;12299
2;0,000016;1;1024KiB;128MiB;128;0.0058;0.04;0.04;0.05;0;12531844;80152;2792280;0;0;1860;12238
3;0,000016;1;1024KiB;128MiB;128;0.0056;0.04;0.04;0.07;0;12497828;80248;2798392;0;0;1925;12167
4;0,000016;1;1024KiB;128MiB;128;0.0065;0.04;0.05;0.37;0;12637536;80480;2807336;0;0;1743;12341
5;0,000016;1;1024KiB;128MiB;128;0.0059;0.04;0.04;0.06;0;12581516;80632;2813076;0;0;1794;12284
6;0,000016;1;1024KiB;128MiB;128;0.0060;0.04;0.04;0.06;0;12453984;80784;2823012;0;0;1908;12159
7;0,000016;1;1024KiB;128MiB;128;0.0061;0.04;0.05;0.14;0;12555192;81016;2834116;0;0;1797;12259
8;0,000016;1;1024KiB;128MiB;128;0.0076;0.04;0.06;1.19;0;12539704;81112;2840028;0;0;1805;12245
9;0,000016;1;1024KiB;128MiB;128;0.0058;0.04;0.04;0.05;0;12397772;81264;2847748;0;0;1925;12119
10;0,000016;1;1024KiB;128MiB;128;0.0058;0.04;0.04;0.07;0;12357976;81368;2853900;0;0;1947;12091
