run;latencia_ms_promedio;threads;block_size;total_size;total_operations;total_time_s;min_latency_ms;avg_latency_ms;max_latency_ms;swpd_avg;free_avg;buff_avg;cache_avg;si_avg;so_avg;mem_used;mem_free
1;0,000016;1;1024KiB;128MiB;128;0.0058;0.04;0.04;0.05;0;13031080;48688;2274424;0;0;1893;12726
2;0,000016;1;1024KiB;128MiB;128;0.0061;0.04;0.05;0.22;0;13044208;48912;2283420;0;0;1863;12748
3;0,000016;1;1024KiB;128MiB;128;0.0058;0.04;0.04;0.05;0;12990484;49020;2289876;0;0;1923;12681
4;0,000016;1;1024KiB;128MiB;128;0.0059;0.04;0.04;0.06;0;13069568;49164;2297572;0;0;1822;12775
5;0,000016;1;1024KiB;128MiB;128;0.0065;0.04;0.05;0.14;0;13084508;49380;2304880;0;0;1813;12776
6;0,000016;1;1024KiB;128MiB;128;0.0061;0.04;0.05;0.31;0;13062932;49540;2310096;0;0;1828;12756
7;0,000016;1;1024KiB;128MiB;128;0.0058;0.04;0.04;0.05;0;13071408;49636;2314936;0;0;1846;12733
8;0,000016;1;1024KiB;128MiB;128;0.0060;0.04;0.04;0.23;0;13046556;49848;2324420;0;0;1823;12747
9;0,000016;1;1024KiB;128MiB;128;0.0059;0.04;0.04;0.06;0;12906340;49992;2331448;0;0;1962;12601
10;0,000016;1;1024KiB;128MiB;128;0.0055;0.04;0.04;0.07;0;12912352;50128;2335520;0;0;1950;12609
