Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/Categorias,12709,4804,11000.0,9527.332535062025,0.35390001721680164,37502.37800006289,104.79628609646707,19.27620068817529,7.286400826657809,11000,12000,13000,14000,20000,21000,26000,27000,34000,36000,38000
GET,/Mesas,3205,1285,11000.0,9666.087768018813,0.49599993508309126,36233.42609999236,1504.2957878315133,4.861139602297727,1.9490060495951884,11000,13000,14000,15000,20000,21000,26000,27000,34000,36000,36000
GET,/Pedidos/5925,9540,3740,11000.0,9595.577634780093,0.5991000216454268,37909.77330005262,218.8679245283019,14.469663589990738,5.6725934828684865,11000,13000,14000,15000,19000,21000,26000,27000,34000,38000,38000
GET,/Productos,12611,4998,990.0,5485.507992118376,0.4381999606266618,38046.265200013295,479.9589247482357,19.127560538089433,7.5806476543787955,990,10000,12000,12000,14000,19000,21000,26000,30000,37000,38000
PUT,Abrir Mesa,12446,6890,4900.0,7939.101284251644,0.6075999699532986,46222.98199997749,73.35899084043066,18.877299060904058,10.450312592771088,4900,12000,14000,15000,19000,21000,25000,29000,36000,42000,46000
POST,Agregar Item,13585,7769,2400.0,5800.805152263572,0.5959999980404973,37563.38329997379,93.61958041958042,20.604861621595827,11.78352373486772,2400,5700,12000,13000,15000,18000,21000,25000,33000,37000,38000
PUT,Cerrar Mesa,5360,2843,11000.0,9198.96361244293,1.3879999751225114,41453.11809994746,27.83134328358209,8.129706167961253,4.312081088715269,11000,13000,14000,15000,19000,21000,26000,29000,34000,41000,41000
,Aggregated,69456,32329,5600.0,7770.425448471033,0.35390001721680164,46222.98199997749,239.40206749596868,105.34643126901433,49.034565429854354,5600,12000,13000,14000,18000,21000,24000,27000,34000,40000,46000
