run;latencia_ms_promedio;threads;block_size;total_size;total_operations;total_time_s;min_latency_ms;avg_latency_ms;max_latency_ms;swpd_avg;free_avg;buff_avg;cache_avg;si_avg;so_avg;mem_used;mem_free
1;0,000016;1;1024KiB;128MiB;128;0.0062;0.04;0.05;0.37;0;14414464;22004;1253588;0;0;1530;14074
2;0,000016;1;1024KiB;128MiB;128;0.0058;0.04;0.04;0.05;0;14323628;22136;1257408;0;0;1606;13994
3;0,000016;1;1024KiB;128MiB;128;0.0058;0.04;0.04;0.05;0;14292776;22356;1263428;0;0;1638;13956
4;0,000016;1;1024KiB;128MiB;128;0.0057;0.04;0.04;0.05;0;14459172;22548;1267552;0;0;1506;14084
5;0,000016;1;1024KiB;128MiB;128;0.0056;0.04;0.04;0.08;0;14264620;22732;1273712;0;0;1656;13928
6;0,000016;1;1024KiB;128MiB;128;0.0058;0.04;0.04;0.05;0;14233772;22896;1281216;0;0;1677;13901
7;0,000016;1;1024KiB;128MiB;128;0.0058;0.04;0.04;0.07;0;14220204;22992;1286312;0;0;1699;13875
8;0,000016;1;1024KiB;128MiB;128;0.0057;0.04;0.04;0.08;0;14385704;23188;1295300;0;0;1549;14019
9;0,000016;1;1024KiB;128MiB;128;0.0057;0.04;0.04;0.05;0;14255644;23396;1302020;0;0;1645;13917
10;0,000016;1;1024KiB;128MiB;128;0.0056;0.04;0.04;0.09;0;14250648;23464;1303272;0;0;1645;13916
