run;latencia_ms_promedio;threads;block_size;total_size;total_operations;total_time_s;min_latency_ms;avg_latency_ms;max_latency_ms;swpd_avg;free_avg;buff_avg;cache_avg;si_avg;so_avg;mem_used;mem_free
1;0,000016;1;1024KiB;128MiB;128;0.0058;0.04;0.04;0.05;0;13400528;46028;1533256;0;0;2240;13086
2;0,000016;1;1024KiB;128MiB;128;0.0058;0.04;0.04;0.05;0;13419016;46148;1534600;0;0;2222;13103
3;0,000016;1;1024KiB;128MiB;128;0.0061;0.04;0.05;0.34;0;13391688;46260;1536284;0;0;2246;13077
4;0,000016;1;1024KiB;128MiB;128;0.0058;0.04;0.04;0.05;0;13387220;46380;1537992;0;0;2249;13073
5;0,000016;1;1024KiB;128MiB;128;0.0058;0.04;0.04;0.05;0;13379148;46476;1539576;0;0;2255;13065
6;0,000016;1;1024KiB;128MiB;128;0.0058;0.04;0.04;0.05;0;13412976;46628;1541248;0;0;2220;13098
7;0,000016;1;1024KiB;128MiB;128;0.0058;0.04;0.04;0.08;0;13366324;46732;1542804;0;0;2268;13048
8;0,000016;1;1024KiB;128MiB;128;0.0058;0.04;0.04;0.05;0;13315052;46836;1544408;0;0;2312;13002
9;0,000016;1;1024KiB;128MiB;128;0.0058;0.04;0.04;0.05;0;13285560;46932;1545988;0;0;2340;12973
10;0,000016;1;1024KiB;128MiB;128;0.0057;0.04;0.04;0.07;0;13288352;47052;1547708;0;0;2335;12976
