run;latencia_ms_promedio;threads;block_size;total_size;total_operations;total_time_s;min_latency_ms;avg_latency_ms;max_latency_ms;swpd_avg;free_avg;buff_avg;cache_avg;si_avg;so_avg;mem_used;mem_free
1;0,000016;1;1024KiB;128MiB;128;0.0067;0.04;0.05;0.33;0;14029048;30268;1639284;0;0;1546;13699
2;0,000016;1;1024KiB;128MiB;128;0.0056;0.04;0.04;0.09;0;13732360;30372;1644772;0;0;1828;13412
3;0,000016;1;1024KiB;128MiB;128;0.0063;0.04;0.05;0.38;0;13698700;30520;1653188;0;0;1856;13376
4;0,000016;1;1024KiB;128MiB;128;0.0058;0.04;0.04;0.07;0;13707776;30624;1659200;0;0;1870;13356
5;0,000016;1;1024KiB;128MiB;128;0.0060;0.04;0.05;0.22;0;13820724;30876;1665088;0;0;1726;13495
6;0,000016;1;1024KiB;128MiB;128;0.0058;0.04;0.04;0.06;0;13827048;30976;1670872;0;0;1713;13502
7;0,000016;1;1024KiB;128MiB;128;0.0058;0.04;0.04;0.05;0;13834284;31152;1676188;0;0;1701;13509
8;0,000016;1;1024KiB;128MiB;128;0.0058;0.04;0.04;0.05;0;13762848;31248;1681948;0;0;1775;13430
9;0,000016;1;1024KiB;128MiB;128;0.0058;0.04;0.04;0.06;0;13643020;31360;1686948;0;0;1921;13278
10;0,000016;1;1024KiB;128MiB;128;0.0063;0.04;0.05;0.25;0;13871056;31512;1692884;0;0;1654;13540
