run;cycles;instructions;cache-references;cache-misses;r_avg;in_avg;cs_avg;us_avg;sy_avg;id_avg;st_avg;usr_core_avg;idle_core_avg;load1;load5;load15;r_avg_processes;running_avg
1;23342251720;8393911977;1649420350;87782128;1.00;14177.40;29835.20;11.60;5.40;83.20;0.00;0;82.08;0.61;1.02;0.75;1.00;1.00
2;24145610606;8632383956;1719137774;87417545;5.00;16246.00;29648.60;11.40;5.40;83.20;0.00;0;82.13;1.66;1.29;0.86;5.00;1.00
3;23299288175;8523423683;1700683620;88026353;3.60;16019.20;28791.80;11.80;4.80;83.20;0.00;0;82.41;1.77;1.36;0.91;3.60;1.20
4;24175452975;8785302225;1768061204;93865483;2.80;15001.20;30389.40;12.00;5.20;82.80;0.00;0;81.74;1.60;1.35;0.93;2.80;1.20
5;24783447592;9077353641;1831733717;93525769;1.80;17409.00;28123.20;12.00;5.60;82.40;0.00;.03;81.27;1.00;1.24;0.91;1.80;1.00
6;24672422366;8925901770;1811372132;93686520;2.60;18187.00;28300.80;12.60;5.20;81.80;0.00;0;82.41;1.43;1.32;0.96;2.60;1.00
7;25302385040;9061515398;1842629828;97160571;2.20;17772.20;28949.60;12.60;6.00;81.00;0.00;0;81.85;1.49;1.36;1.00;2.20;1.20
8;25176691890;9037859043;1814997711;99331936;2.80;17049.00;28176.00;12.40;5.60;82.00;0.00;.03;81.89;1.16;1.34;1.01;2.80;1.00
9;24500271015;8669545404;1727380358;94383518;1.00;17504.20;29871.80;13.80;5.80;80.00;0.00;0;81.34;1.24;1.38;1.04;1.00;1.40
10;25231410539;8997531595;1799975657;101785358;1.40;15509.20;27519.00;12.00;5.40;82.40;0.00;0;81.48;1.27;1.39;1.07;1.40;1.00
