run;cycles;instructions;cache-references;cache-misses;r_avg;in_avg;cs_avg;us_avg;sy_avg;id_avg;st_avg
1;54446418267;79615806065;1761990190;401478397;2,00;2648,20;10996,80;16,80;20,80;62,20;0,00
2;50524394848;73091744471;1628126930;364908982;9,20;2753,20;11076,80;19,40;21,80;58,40;0,00
3;51186834813;75060269270;1622370497;364486791;6,40;2670,80;9951,80;18,40;21,80;59,40;0,00
4;49985679983;72540173169;1587008509;361046942;16,40;2540,60;10494,40;17,20;20,60;61,80;0,00
5;50841468433;73408840129;1650442000;371105828;3,00;2602,80;12777,40;15,20;19,60;64,40;0,00
6;48043870085;69105843152;1527787186;347855997;12,00;2594,00;10017,80;18,40;21,40;60,00;0,00
7;53319468872;77161373290;1718244087;389082871;8,20;2536,60;10001,80;17,40;20,60;62,00;0,00
8;55974912716;84235053373;1748667522;393744366;3,00;2448,40;10428,80;14,20;19,80;65,60;0,00
9;46944518776;67387099712;1507307207;338293263;3,80;2590,60;11774,00;17,20;20,60;62,00;0,00
10;50040727126;73072321279;1593414690;358670132;3,20;2627,80;9960,20;19,00;21,60;59,20;0,00
11;52500369267;76039181795;1699607374;388229213;8,40;2581,60;11583,20;16,00;20,20;63,60;0,00
12;54526752309;80350080336;1743370510;398388416;6,40;2479,40;9974,00;14,40;20,40;64,80;0,00
13;44340975136;62724418051;1446597598;318953859;3,20;2650,60;11138,20;15,00;20,00;64,40;0,00
14;53326125311;79257214151;1670212243;380681087;7,40;2649,00;10613,00;19,00;21,60;59,20;0,00
15;44570406591;62126063812;1461146624;329246684;3,60;2644,60;12340,60;16,40;20,60;62,80;0,00
16;46619146367;66369123510;1496778135;339672682;3,00;2560,80;11422,40;9,80;17,80;72,20;0,00
17;51111488981;74278690141;1632498014;374855243;4,80;2642,60;11894,40;17,40;21,60;60,80;0,00
18;52897718246;77619140184;1694988884;380978193;4,60;2712,60;11942,00;13,80;19,00;67,00;0,00
19;47451462731;67931503844;1527779285;343793298;23,20;2678,40;15090,00;15,20;19,40;65,20;0,00
20;43710219366;62424525244;1383551125;307548199;2,00;2476,20;10648,00;11,80;18,80;68,60;0,00
