run;cycles;instructions;cache-references;cache-misses;r_avg;in_avg;cs_avg;us_avg;sy_avg;id_avg;st_avg;usr_core_avg;idle_core_avg;load1;load5;load15;r_avg_processes;running_avg
1;19592648737;24352961357;607113514;124240773;2.60;1296.00;11076.80;5.60;13.00;81.00;0.00;.26;81.43;0.15;0.03;0.09;2.60;1.00
2;20338377146;24790142050;639898847;124980504;2.00;1401.00;12184.80;5.80;13.20;80.60;0.00;.26;81.71;1.20;0.37;0.20;2.00;1.00
3;20234432082;24393695017;639728231;123697377;2.00;1394.20;12950.20;6.20;13.00;80.40;0.00;.33;81.28;1.60;0.62;0.30;2.00;1.00
4;20027122569;24397477695;628542010;122356240;3.60;1231.60;9694.60;5.20;12.20;81.80;0.00;.29;82.28;1.55;0.77;0.37;3.60;1.00
5;20053850711;24754383087;627695059;124784113;2.20;1348.60;11504.80;5.60;13.40;80.80;0.00;.23;82.53;1.12;0.79;0.40;2.20;1.00
6;21384557788;26353928535;679333513;133467620;2.60;1325.40;11356.00;5.80;12.60;81.40;0.00;.26;83.54;0.99;0.82;0.44;2.60;1.00
7;21010473154;25395340081;670069065;128628666;2.60;1413.00;12835.80;6.00;13.40;80.00;0.00;.29;82.41;0.99;0.88;0.48;2.60;1.00
8;20626109900;25404955154;661873333;128323890;2.00;1337.60;11112.80;6.00;12.60;80.80;0.00;.32;80.41;1.26;0.99;0.55;2.00;1.00
9;20861173152;26297533822;646908343;129671681;1.60;1443.20;11654.80;6.20;13.40;80.00;0.00;.16;81.23;1.39;1.12;0.63;1.60;1.00
10;21543563393;27156694756;690050727;133889028;1.80;1186.60;10027.00;5.00;12.40;82.40;0.00;.33;81.38;1.23;1.18;0.71;1.80;1.00
