run;cycles;instructions;cache-references;cache-misses;r_avg;in_avg;cs_avg;us_avg;sy_avg;id_avg;st_avg;usr_core_avg;idle_core_avg;load1;load5;load15;r_avg_processes;running_avg
1;83265284996;109987585153;2618067241;753797548;3.60;4496.80;76090.00;24.80;26.00;49.40;0.00;.06;50.41;5.86;2.08;2.42;3.60;1.80
2;62017446090;83115249321;1802070808;499798030;12.60;4039.00;63660.60;20.00;23.40;56.60;0.00;.06;49.17;5.12;2.59;2.58;12.60;2.20
3;56804905238;75847634331;1606508422;444630926;8.60;4260.40;68426.60;19.80;24.60;55.40;0.00;.16;49.23;4.95;3.01;2.73;8.60;1.80
4;60541360877;80787281836;1747175820;485752008;8.80;4128.40;64276.80;19.40;23.40;57.60;0.00;.06;46.97;4.40;3.18;2.80;8.80;1.80
5;59957264312;80247347119;1729547558;476960213;8.60;4398.60;70198.40;22.20;23.80;54.20;0.00;.06;51.03;6.33;4.27;3.22;8.60;1.80
6;58859442913;79024825965;1681665680;465004211;6.40;4142.80;65243.60;19.60;23.20;56.80;0.00;.06;50.13;6.36;4.74;3.46;6.40;1.80
7;61317020773;82044579379;1778161577;488432683;4.80;4149.80;66199.80;21.20;23.80;54.80;0.00;.06;50.96;6.52;5.09;3.66;4.80;2.20
8;59961266139;79790912175;1719147283;480848398;7.20;4294.60;66002.60;20.20;23.00;57.00;0.00;.03;50.88;7.70;6.02;4.09;7.20;3.20
9;58931053967;78891282485;1685979178;465143703;6.20;4141.40;64336.00;20.80;23.20;56.00;0.00;.06;48.83;7.37;6.14;4.25;6.20;1.20
10;59846710749;79883875214;1723592615;478655672;8.60;4375.40;71832.60;21.60;24.00;54.40;0.00;.03;51.22;6.16;6.18;4.40;8.60;1.20
