run;transfer_MB;bandwidth_Mbps;hops;avg_loss_pct;avg_latency_ms;avg_best_ms;avg_worst_ms;avg_stdev_ms;interfaz;rx_pps;tx_pps
1;112;93.6;8;10,00;14,25;15,12;14,00;21,25;enp0s31f6;670;763
2;111;93.4;8;10,00;14,25;14,50;13,75;15,88;enp0s31f6;875;954
3;111;93.2;8;8,75;14,25;14,75;14,12;17,38;enp0s31f6;555;626
4;111;93.4;8;10,00;14,88;14,50;14,00;15,38;enp0s31f6;537;619
5;112;93.8;8;6,25;14,38;14,88;14,00;16,25;enp0s31f6;447;523
6;112;93.8;8;11,25;14,25;14,62;14,00;15,75;enp0s31f6;482;544
7;112;93.8;8;8,75;14,50;14,88;14,25;16,75;enp0s31f6;525;594
8;111;93.3;8;10,00;14,38;14,62;13,88;16,75;enp0s31f6;468;560
9;112;93.7;8;10,00;14,25;15,38;13,88;16,38;enp0s31f6;521;627
10;111;93.5;8;8,75;14,25;14,38;13,75;15,25;enp0s31f6;495;594
