run;transfer_MB;bandwidth_Mbps;hops;avg_loss_pct;avg_latency_ms;avg_best_ms;avg_worst_ms;avg_stdev_ms;interfaz;rx_pps;tx_pps
1;262;220;8;6,25;14,75;14,62;14,38;15,88;enp6s18;1250;1417
2;285;239;8;7,50;14,88;15,25;14,25;19,00;enp6s18;1199;1381
3;291;244;8;8,75;14,75;15,25;14,12;18,62;enp6s18;1194;1421
4;327;275;8;6,25;15,12;15,12;14,38;18,62;enp6s18;1763;2034
5;320;269;8;6,25;14,88;16,00;14,38;19,38;enp6s18;1238;1459
6;314;264;8;5,00;17,25;15,00;12,75;19,00;enp6s18;114;137
7;146;122;8;8,75;14,00;14,75;12,75;19,38;enp6s18;1112;1298
8;211;177;8;7,50;14,75;15,00;13,50;18,62;enp6s18;282;357
9;238;200;8;10,00;14,12;14,88;13,12;18,62;enp6s18;1092;1537
10;256;215;8;7,50;14,38;15,38;13,75;19,62;enp6s18;1527;1855
