run;transfer_MB;bandwidth_Mbps;hops;avg_loss_pct;avg_latency_ms;avg_best_ms;avg_worst_ms;avg_stdev_ms;interfaz;rx_pps;tx_pps
1;111;93.4;8;10,00;15,00;15,38;14,25;17,88;enp0s31f6;583;639
2;111;92.7;8;7,50;14,88;15,25;14,50;16,38;enp0s31f6;632;688
3;112;93.8;8;10,00;15,00;15,62;14,50;17,75;enp0s31f6;552;580
4;112;93.9;8;12,50;12,25;12,50;12,00;13,62;enp0s31f6;510;596
5;112;93.6;8;7,50;18,88;15,50;14,25;18,88;enp0s31f6;518;537
6;111;93.0;8;11,25;15,00;15,00;14,62;16,00;enp0s31f6;583;622
7;111;93.0;8;5,00;14,88;15,25;14,50;18,00;enp0s31f6;552;582
8;112;94.2;8;6,25;15,75;15,38;14,25;17,25;enp0s31f6;581;677
9;111;93.4;8;3,75;15,25;15,50;14,62;18,12;enp0s31f6;690;768
10;112;93.7;8;6,25;16,50;15,62;14,00;19,12;enp0s31f6;709;814
