run;latencia_ms_promedio;threads;block_size;total_size;total_operations;total_time_s;min_latency_ms;avg_latency_ms;max_latency_ms;swpd_avg;free_avg;buff_avg;cache_avg;si_avg;so_avg;mem_used;mem_free
1;0,000000;1;1024KiB;128MiB;128;0.0054;0.04;0.04;0.06;0;15460596;21440;443720;0;0;756;15103
2;0,000000;1;1024KiB;128MiB;128;0.0049;0.04;0.04;0.06;0;15416108;21520;443716;0;0;853;15006
3;0,000000;1;1024KiB;128MiB;128;0.0065;0.04;0.05;0.10;0;14836884;21568;443784;0;0;1371;14488
4;0,000000;1;1024KiB;128MiB;128;0.0055;0.04;0.04;0.05;0;14817648;21616;443904;0;0;1488;14371
5;0,000000;1;1024KiB;128MiB;128;0.0053;0.04;0.04;0.06;0;15470892;21664;443892;0;0;782;15077
6;0,000000;1;1024KiB;128MiB;128;0.0070;0.04;0.05;0.07;0;15436228;21720;443868;0;0;747;15112
7;0,000000;1;1024KiB;128MiB;128;0.0050;0.04;0.04;0.06;0;15421152;21768;444044;0;0;763;15096
8;0,000000;1;1024KiB;128MiB;128;0.0089;0.04;0.07;0.13;0;15452772;21832;444028;0;0;804;15055
9;0,000000;1;1024KiB;128MiB;128;0.0056;0.04;0.04;0.07;0;15432556;21880;444036;0;0;780;15079
10;0,000000;1;1024KiB;128MiB;128;0.0054;0.04;0.04;0.07;0;15478248;21928;444024;0;0;728;15131
