run;latencia_ms_promedio;threads;block_size;total_size;total_operations;total_time_s;min_latency_ms;avg_latency_ms;max_latency_ms;swpd_avg;free_avg;buff_avg;cache_avg;si_avg;so_avg;mem_used;mem_free
1;0,000016;1;1024KiB;128MiB;128;0.0058;0.04;0.04;0.05;0;13864412;53092;1533468;0;0;1779;13537
2;0,000016;1;1024KiB;128MiB;128;0.0058;0.04;0.04;0.06;0;13725192;53204;1542396;0;0;1878;13429
3;0,000016;1;1024KiB;128MiB;128;0.0058;0.04;0.04;0.06;0;13725088;53352;1550572;0;0;1904;13397
4;0,000016;1;1024KiB;128MiB;128;0.0057;0.04;0.04;0.08;0;13958796;53488;1559360;0;0;1736;13557
5;0,000016;1;1024KiB;128MiB;128;0.0058;0.04;0.04;0.05;0;13752432;53636;1568468;0;0;1868;13419
6;0,000016;1;1024KiB;128MiB;128;0.0058;0.04;0.04;0.05;0;13748276;53732;1575372;0;0;1857;13424
7;0,000016;1;1024KiB;128MiB;128;0.0058;0.04;0.04;0.05;0;13722156;53836;1581524;0;0;1876;13399
8;0,000016;1;1024KiB;128MiB;128;0.0058;0.04;0.04;0.05;0;13628872;54048;1608908;0;0;1942;13309
9;0,000016;1;1024KiB;128MiB;128;0.0060;0.04;0.05;0.09;0;13884424;54156;1617276;0;0;1685;13559
10;0,000016;1;1024KiB;128MiB;128;0.0058;0.04;0.04;0.05;0;13856848;54392;1644044;0;0;1677;13542
