Method,Name,Error,Occurrences
PUT,Abrir Mesa,CatchResponseError('Fallo al abrir mesa 7'),405
PUT,Cerrar Mesa,CatchResponseError('Fallo al cerrar mesa 6'),640
POST,Agregar Item,CatchResponseError('Fallo al agregar item 1 en mesa 3'),412
PUT,Cerrar Mesa,CatchResponseError('Fallo al cerrar mesa 8'),568
POST,Agregar Item,CatchResponseError('Fallo al agregar item 3 en mesa 2'),466
POST,Agregar Item,CatchResponseError('Fallo al agregar item 3 en mesa 3'),436
POST,Agregar Item,CatchResponseError('Fallo al agregar item 1 en mesa 4'),407
POST,Agregar Item,CatchResponseError('Fallo al agregar item 4 en mesa 7'),402
PUT,Abrir Mesa,CatchResponseError('Fallo al abrir mesa 1'),381
POST,Agregar Item,CatchResponseError('Fallo al agregar item 4 en mesa 4'),366
GET,/Pedidos/5925,HTTPError('500 Server Error: Internal Server Error for url: /Pedidos/5925'),3
POST,Agregar Item,CatchResponseError('Fallo al agregar item 4 en mesa 12'),406
PUT,Abrir Mesa,CatchResponseError('Fallo al abrir mesa 11'),399
GET,/Mesas,RemoteDisconnected('Remote end closed connection without response'),662
POST,Agregar Item,CatchResponseError('Fallo al agregar item 2 en mesa 9'),418
PUT,Abrir Mesa,CatchResponseError('Fallo al abrir mesa 3'),411
POST,Agregar Item,CatchResponseError('Fallo al agregar item 3 en mesa 7'),427
PUT,Cerrar Mesa,CatchResponseError('Fallo al cerrar mesa 9'),607
POST,Agregar Item,CatchResponseError('Fallo al agregar item 3 en mesa 9'),445
GET,/Pedidos/5925,RemoteDisconnected('Remote end closed connection without response'),1982
POST,Agregar Item,CatchResponseError('Fallo al agregar item 2 en mesa 12'),458
PUT,Cerrar Mesa,CatchResponseError('Fallo al cerrar mesa 2'),658
POST,Agregar Item,CatchResponseError('Fallo al agregar item 1 en mesa 11'),397
POST,Agregar Item,CatchResponseError('Fallo al agregar item 2 en mesa 3'),448
POST,Agregar Item,CatchResponseError('Fallo al agregar item 4 en mesa 9'),420
GET,/Categorias,HTTPError('500 Server Error: Internal Server Error for url: /Categorias'),3
PUT,Cerrar Mesa,CatchResponseError('Fallo al cerrar mesa 7'),599
POST,Agregar Item,CatchResponseError('Fallo al agregar item 3 en mesa 1'),364
PUT,Cerrar Mesa,CatchResponseError('Fallo al cerrar mesa 10'),646
POST,Agregar Item,CatchResponseError('Fallo al agregar item 3 en mesa 13'),489
GET,/Mesas,HTTPError('500 Server Error: Internal Server Error for url: /Mesas'),3
POST,Agregar Item,CatchResponseError('Fallo al agregar item 1 en mesa 8'),408
POST,Agregar Item,CatchResponseError('Fallo al agregar item 1 en mesa 1'),410
POST,Agregar Item,CatchResponseError('Fallo al agregar item 3 en mesa 12'),434
GET,/Categorias,RemoteDisconnected('Remote end closed connection without response'),2610
POST,Agregar Item,CatchResponseError('Fallo al agregar item 4 en mesa 2'),486
POST,Agregar Item,CatchResponseError('Fallo al agregar item 4 en mesa 13'),436
PUT,Abrir Mesa,CatchResponseError('Fallo al abrir mesa 5'),419
PUT,Abrir Mesa,CatchResponseError('Fallo al abrir mesa 8'),430
POST,Agregar Item,CatchResponseError('Fallo al agregar item 1 en mesa 5'),461
POST,Agregar Item,CatchResponseError('Fallo al agregar item 2 en mesa 5'),408
POST,Agregar Item,CatchResponseError('Fallo al agregar item 4 en mesa 1'),409
POST,Agregar Item,CatchResponseError('Fallo al agregar item 1 en mesa 12'),434
POST,Agregar Item,CatchResponseError('Fallo al agregar item 1 en mesa 9'),415
PUT,Abrir Mesa,CatchResponseError('Fallo al abrir mesa 10'),465
PUT,Cerrar Mesa,CatchResponseError('Fallo al cerrar mesa 1'),506
PUT,Abrir Mesa,CatchResponseError('Fallo al abrir mesa 2'),440
POST,Agregar Item,CatchResponseError('Fallo al agregar item 2 en mesa 8'),432
PUT,Cerrar Mesa,CatchResponseError('Fallo al cerrar mesa 4'),555
POST,Agregar Item,CatchResponseError('Fallo al agregar item 3 en mesa 11'),441
POST,Agregar Item,CatchResponseError('Fallo al agregar item 1 en mesa 2'),453
POST,Agregar Item,CatchResponseError('Fallo al agregar item 1 en mesa 7'),395
PUT,Cerrar Mesa,CatchResponseError('Fallo al cerrar mesa 3'),593
PUT,Cerrar Mesa,CatchResponseError('Fallo al cerrar mesa 5'),622
POST,Agregar Item,CatchResponseError('Fallo al agregar item 2 en mesa 13'),401
PUT,Abrir Mesa,CatchResponseError('Fallo al abrir mesa 6'),422
PUT,Abrir Mesa,CatchResponseError('Fallo al abrir mesa 9'),463
PUT,Abrir Mesa,CatchResponseError('Fallo al abrir mesa 4'),378
POST,Agregar Item,CatchResponseError('Fallo al agregar item 2 en mesa 11'),389
GET,/Productos,RemoteDisconnected('Remote end closed connection without response'),5412
POST,Agregar Item,CatchResponseError('Fallo al agregar item 4 en mesa 11'),438
POST,Agregar Item,CatchResponseError('Fallo al agregar item 1 en mesa 13'),430
POST,Agregar Item,CatchResponseError('Fallo al agregar item 3 en mesa 4'),410
POST,Agregar Item,CatchResponseError('Fallo al agregar item 2 en mesa 2'),468
POST,Agregar Item,CatchResponseError('Fallo al agregar item 4 en mesa 5'),460
POST,Agregar Item,CatchResponseError('Fallo al agregar item 4 en mesa 8'),423
POST,Agregar Item,CatchResponseError('Fallo al agregar item 2 en mesa 1'),395
POST,Agregar Item,CatchResponseError('Fallo al agregar item 3 en mesa 5'),459
POST,Agregar Item,CatchResponseError('Fallo al agregar item 3 en mesa 8'),413
POST,Agregar Item,CatchResponseError('Fallo al agregar item 2 en mesa 4'),402
PUT,Cerrar Mesa,CatchResponseError('Fallo al cerrar mesa 11'),648
POST,Agregar Item,CatchResponseError('Fallo al agregar item 4 en mesa 3'),443
POST,Agregar Item,CatchResponseError('Fallo al agregar item 2 en mesa 7'),433
