run;latencia_ms_promedio;threads;block_size;total_size;total_operations;total_time_s;min_latency_ms;avg_latency_ms;max_latency_ms;swpd_avg;free_avg;buff_avg;cache_avg;si_avg;so_avg;mem_used;mem_free
1;0,000000;1;1024KiB;128MiB;128;0.0048;0.03;0.04;0.10;0;15595780;14488;439208;0;0;640;15229
2;0,000000;1;1024KiB;128MiB;128;0.0049;0.03;0.04;0.07;0;15600328;14528;439468;0;0;636;15233
3;0,000000;1;1024KiB;128MiB;128;0.0049;0.03;0.04;0.09;0;15578276;15024;439640;0;0;656;15212
4;0,000000;1;1024KiB;128MiB;128;0.0048;0.03;0.04;0.08;0;15595428;15056;439740;0;0;640;15228
5;0,000000;1;1024KiB;128MiB;128;0.0047;0.04;0.04;0.04;0;15590480;15096;439772;0;0;644;15224
6;0,000000;1;1024KiB;128MiB;128;0.0048;0.04;0.04;0.05;0;15604048;15136;439776;0;0;631;15237
7;0,000000;1;1024KiB;128MiB;128;0.0049;0.03;0.04;0.09;0;15602252;15168;439760;0;0;632;15236
8;0,000000;1;1024KiB;128MiB;128;0.0048;0.04;0.04;0.05;0;15588960;15200;439760;0;0;646;15222
9;0,000000;1;1024KiB;128MiB;128;0.0049;0.04;0.04;0.05;0;15591504;15232;439884;0;0;643;15225
10;0,000000;1;1024KiB;128MiB;128;0.0048;0.03;0.04;0.08;0;15590928;15264;439816;0;0;644;15224
