run;read_iops;write_iops;read_bw_MBps;write_bw_MBps;read_lat_avg_ms;write_lat_avg_ms
1;9001;9001;35.2;35.2;0.0973;0.00857916
2;8995;8995;35.1;35.1;0.09748;0.008354
3;8689;8689;33.9;33.9;0.10292;0.00760823
4;8731;8731;34.1;34.1;0.10246;0.00721206
5;8311;8311;32.5;32.5;0.10629;0.008663
6;8415;8415;32.9;32.9;0.10507;0.00825066
7;8743;8743;34.2;34.2;0.10199;0.00777325
8;8631;8631;33.7;33.7;0.10342;0.00771543
9;8311;8311;32.5;32.5;0.10508;0.00941212
10;8719;8719;34.1;34.1;0.10278;0.00740894
11;8607;8607;33.6;33.6;0.10335;0.00797801
12;8677;8677;33.9;33.9;0.10329;0.0075411
13;8797;8797;34.4;34.4;0.10153;0.00749341
14;8338;8338;32.6;32.6;0.10598;0.00859466
15;8926;8926;34.9;34.9;0.09862;0.00837196
16;8344;8344;32.6;32.6;0.10563;0.00866544
17;8300;8300;32.4;32.4;0.10664;0.00873116
18;8236;8236;32.2;32.2;0.10571;0.00849993
19;8366;8366;32.7;32.7;0.10572;0.00855631
20;8926;8926;34.9;34.9;0.09837;0.0084985
