run;transfer_MB;bandwidth_Mbps;hops;avg_loss_pct;avg_latency_ms;avg_best_ms;avg_worst_ms;avg_stdev_ms;interfaz;rx_pps;tx_pps
1;112;93,9;8;12,5;12,88;12,62;12;15,62;enp0s31f6;603;645
2;112;93,6;8;5;16;15,25;14,5;17;enp0s31f6;534;602
3;112;93,9;8;3,75;14,75;15,25;14,38;17,25;enp0s31f6;572;651
4;112;93,8;8;6,25;17,12;15,75;14,38;18,5;enp0s31f6;605;673
5;112;93,8;8;6,25;17,62;15,5;14,12;18;enp0s31f6;656;719
6;112;93,6;8;3,75;14,75;15,75;14,12;19,75;enp0s31f6;565;666
7;111;93,3;8;3,75;14,5;15,5;14,38;19,5;enp0s31f6;557;604
8;111;93,2;8;8,75;14,88;15,38;14,25;17,62;enp0s31f6;535;607
9;111;93,5;8;5;14,88;15;14,5;17,12;enp0s31f6;488;573
10;111;93,5;8;7,5;17,12;15,88;14,5;18,38;enp0s31f6;604;679
11;110;92,7;8;3,75;15,5;15,12;14,12;18,25;enp0s31f6;555;609
12;111;93,5;8;6,25;14,88;15,38;14,5;19,25;enp0s31f6;722;810
13;112;93,5;8;2,5;15,75;15;14,5;16,38;enp0s31f6;491;546
14;111;92,7;8;7,5;14,88;15;14,25;17,12;enp0s31f6;614;688
15;113;94,4;8;8,75;15;15,38;14,5;20,12;enp0s31f6;559;618
16;112;94,1;8;10;14,75;15;14,38;16,5;enp0s31f6;401;473
17;112;93,7;8;5;15,38;16,12;14,38;24,5;enp0s31f6;518;567
18;110;91,9;8;6,25;14,62;15,12;14,25;17,88;enp0s31f6;491;537
19;112;93,7;8;7,5;15,25;15,12;14,5;16,75;enp0s31f6;552;623
20;112;93,8;8;10;14,75;16;14,38;21,75;enp0s31f6;4;43
