run;transfer_MB;bandwidth_Mbps;hops;avg_loss_pct;avg_latency_ms;avg_best_ms;avg_worst_ms;avg_stdev_ms;interfaz;rx_pps;tx_pps
1;112;94.3;8;8,75;14,50;14,62;14,00;15,25;enp0s31f6;338;317
2;111;93.5;8;10,00;14,38;14,75;14,12;17,00;enp0s31f6;328;314
3;112;94.3;8;8,75;14,50;14,88;13,75;18,00;enp0s31f6;406;388
4;112;94.0;8;5,00;14,62;14,50;13,75;15,38;enp0s31f6;415;388
5;112;94.3;8;3,75;17,62;15,12;14,12;18,38;enp0s31f6;249;233
6;112;94.1;8;5,00;14,75;14,88;14,00;16,62;enp0s31f6;109;100
7;112;93.8;8;6,25;16,62;15,50;14,12;17,12;enp0s31f6;218;208
8;112;93.6;8;2,50;14,50;15,38;14,12;20,38;enp0s31f6;175;163
9;113;94.9;8;2,50;14,50;14,62;13,88;16,50;enp0s31f6;0;0
10;113;94.5;8;8,75;14,12;15,00;14,00;16,88;enp0s31f6;5;0
