Method,Name,Error,Occurrences
PUT,Abrir Mesa,CatchResponseError('Fallo al abrir mesa 7'),610
PUT,Cerrar Mesa,CatchResponseError('Fallo al cerrar mesa 6'),252
POST,Agregar Item,CatchResponseError('Fallo al agregar item 1 en mesa 3'),185
PUT,Cerrar Mesa,CatchResponseError('Fallo al cerrar mesa 8'),268
POST,Agregar Item,CatchResponseError('Fallo al agregar item 3 en mesa 2'),176
POST,Agregar Item,CatchResponseError('Fallo al agregar item 3 en mesa 3'),191
GET,/Categorias,"ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x....>, 'Connection to 192.168.100.15 timed out. (connect timeout=None)')",1
POST,Agregar Item,CatchResponseError('Fallo al agregar item 1 en mesa 4'),183
POST,Agregar Item,CatchResponseError('Fallo al agregar item 4 en mesa 7'),193
PUT,Abrir Mesa,CatchResponseError('Fallo al abrir mesa 1'),593
POST,Agregar Item,CatchResponseError('Fallo al agregar item 4 en mesa 4'),178
GET,/Pedidos/5925,HTTPError('500 Server Error: Internal Server Error for url: /Pedidos/5925'),2983
POST,Agregar Item,CatchResponseError('Fallo al agregar item 4 en mesa 12'),187
PUT,Abrir Mesa,CatchResponseError('Fallo al abrir mesa 11'),657
GET,/Mesas,RemoteDisconnected('Remote end closed connection without response'),233
POST,Agregar Item,CatchResponseError('Fallo al agregar item 2 en mesa 9'),194
PUT,Abrir Mesa,CatchResponseError('Fallo al abrir mesa 3'),629
POST,Agregar Item,CatchResponseError('Fallo al agregar item 3 en mesa 7'),191
PUT,Cerrar Mesa,CatchResponseError('Fallo al cerrar mesa 9'),311
POST,Agregar Item,CatchResponseError('Fallo al agregar item 3 en mesa 9'),182
GET,/Pedidos/5925,RemoteDisconnected('Remote end closed connection without response'),582
POST,Agregar Item,CatchResponseError('Fallo al agregar item 2 en mesa 12'),218
PUT,Cerrar Mesa,CatchResponseError('Fallo al cerrar mesa 2'),265
GET,/Mesas,"ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x....>, 'Connection to 192.168.100.15 timed out. (connect timeout=None)')",1
POST,Agregar Item,CatchResponseError('Fallo al agregar item 1 en mesa 11'),212
POST,Agregar Item,CatchResponseError('Fallo al agregar item 2 en mesa 3'),153
POST,Agregar Item,CatchResponseError('Fallo al agregar item 4 en mesa 9'),176
