run;latencia_ms_promedio;threads;block_size;total_size;total_operations;total_time_s;min_latency_ms;avg_latency_ms;max_latency_ms;swpd_avg;free_avg;buff_avg;cache_avg;si_avg;so_avg;mem_used;mem_free
1;0,000016;1;1024KiB;128MiB;128;0.0058;0.04;0.04;0.06;0;12894872;62212;2082172;0;0;2205;12592
2;0,000016;1;1024KiB;128MiB;128;0.0058;0.04;0.04;0.05;0;12893432;62340;2083420;0;0;2204;12591
3;0,000016;1;1024KiB;128MiB;128;0.0057;0.04;0.04;0.05;0;12933652;62436;2084924;0;0;2168;12625
4;0,000016;1;1024KiB;128MiB;128;0.0058;0.04;0.04;0.05;0;12879372;62532;2086444;0;0;2215;12577
5;0,000016;1;1024KiB;128MiB;128;0.0057;0.04;0.04;0.05;0;12845628;62644;2087920;0;0;2236;12555
6;0,000016;1;1024KiB;128MiB;128;0.0058;0.04;0.04;0.06;0;12862872;62788;2089628;0;0;2228;12561
7;0,000016;1;1024KiB;128MiB;128;0.0058;0.04;0.04;0.06;0;12792704;62948;2091360;0;0;2295;12492
8;0,000016;1;1024KiB;128MiB;128;0.0057;0.04;0.04;0.05;0;12790804;63044;2092844;0;0;2295;12491
9;0,000016;1;1024KiB;128MiB;128;0.0058;0.04;0.04;0.08;0;12736072;63140;2095536;0;0;2358;12425
10;0,000016;1;1024KiB;128MiB;128;0.0057;0.04;0.04;0.05;0;12679816;63236;2098432;0;0;2402;12378
