run;cycles;instructions;cache-references;cache-misses;r_avg;in_avg;cs_avg;us_avg;sy_avg;id_avg;st_avg;usr_core_avg;idle_core_avg;load1;load5;load15;r_avg_processes;running_avg
1;7049594795;4483472306;622512519;96162522;4.20;1581.80;7856.00;16.40;5.20;78.00;0.00;.19;82.84;1.57;0.42;1.77;4.20;1.00
2;7140106422;3736204081;644039308;81418643;2.40;1585.00;7812.40;16.80;6.00;76.80;0.00;.19;79.75;1.42;0.61;1.74;2.40;1.40
3;6923258331;4193815691;651678742;82386141;2.60;1991.80;9617.00;21.00;8.00;70.80;0.00;.23;74.50;1.04;0.68;1.69;2.60;1.00
4;6632481379;3733188731;629612502;74903112;2.80;1847.20;9276.60;20.20;7.60;71.40;0.00;.23;76.61;1.22;0.83;1.68;2.80;1.40
5;7489308032;4880528950;668808165;82996901;2.80;1720.80;9131.00;17.40;6.00;76.60;0.00;.29;77.66;1.60;0.99;1.67;2.80;1.40
6;6659318447;4338233193;593660316;71967352;1.40;1936.00;9225.00;21.00;7.40;71.40;0.00;.33;78.18;1.51;1.15;1.67;1.40;1.80
7;6931343401;5225583519;618822302;78952054;2.00;1737.80;8450.20;19.20;6.00;74.20;0.00;.29;79.76;1.03;1.13;1.63;2.00;1.60
8;6589480677;5238272372;579376911;74385707;2.40;1759.20;8754.60;20.00;6.80;73.20;0.00;.23;77.12;0.82;1.10;1.58;2.40;1.40
9;7826862606;6547592060;652935051;86211722;1.00;1846.00;8430.60;21.00;6.60;72.40;0.00;.23;74.97;1.32;1.22;1.59;1.00;1.40
10;8311893150;6016783530;687365427;86843391;3.20;1751.60;8566.80;19.40;6.40;74.20;0.00;.27;73.61;1.51;1.32;1.59;3.20;1.00
