run;cycles;instructions;cache-references;cache-misses;r_avg;in_avg;cs_avg;us_avg;sy_avg;id_avg;st_avg;usr_core_avg;idle_core_avg;load1;load5;load15;r_avg_processes;running_avg
1;20178970051;24220802974;655794017;129952068;1.40;1175.60;8613.60;3.80;11.00;85.40;0.00;.19;81.55;0.23;0.06;0.02;1.40;1.00
2;19165680049;23013526002;600377946;116129690;2.80;1020.60;8312.60;4.40;11.20;83.80;0.00;.33;81.40;0.87;0.34;0.13;2.80;1.00
3;21251646931;25659179028;674296670;128378219;1.80;1088.80;7358.20;4.60;12.00;82.80;0.00;.33;81.51;2.19;0.95;0.37;1.80;1.00
4;19925913336;24077930196;642506160;122226700;1.60;1007.00;6901.00;4.60;12.00;83.40;0.00;.29;80.72;2.35;1.35;0.57;1.60;1.00
5;21748141503;26586221591;694621524;132732642;1.80;1299.20;9843.60;6.20;11.60;82.00;0.00;.39;80.17;1.25;1.27;0.62;1.80;1.00
6;20758946515;25642043528;658587597;125176172;1.80;1441.80;11327.20;7.60;13.60;78.60;0.00;.36;80.46;0.94;1.17;0.64;1.80;1.20
7;21670655695;26651298424;703149491;131792986;1.80;1506.00;10638.00;6.80;13.80;78.60;0.00;.36;80.90;1.35;1.30;0.74;1.80;1.20
8;21677042476;27264882817;687605076;128191206;2.40;990.40;6676.60;5.40;11.00;83.40;0.00;.36;80.70;1.97;1.54;0.88;2.40;1.00
9;21503648486;27204865457;688175822;133857203;3.20;981.00;6123.40;5.20;11.20;83.60;0.00;.30;80.78;1.63;1.58;0.94;3.20;1.40
10;182898356;125332739;9526440;861551;1.00;176.20;443.20;2.00;2.00;96.00;0.00;0;100.00;0.58;1.28;0.89;1.00;1.00
