run;transfer_MB;bandwidth_Mbps;hops;avg_loss_pct;avg_latency_ms;avg_best_ms;avg_worst_ms;avg_stdev_ms;interfaz;rx_pps;tx_pps
1;112;94;8;7,5;16,25;15,5;14,12;17;enp0s31f6;48;43
2;113;94,5;8;6,25;14,75;15,12;14,5;16,62;enp0s31f6;172;158
3;114;95,4;8;5;14,75;15;14,38;16,38;enp0s31f6;215;201
4;113;94,5;8;13,75;15,88;15,25;14,62;16,62;enp0s31f6;154;143
5;112;94,1;8;6,25;14,75;15,25;14,5;18,38;enp0s31f6;181;171
6;113;94,8;8;5;15,25;15;14,25;17,38;enp0s31f6;280;262
7;112;93,8;8;2,5;15,88;15,38;14,25;17,5;enp0s31f6;160;149
8;113;94,5;8;8,75;16,38;15;13,75;16,75;enp0s31f6;312;287
9;113;94,5;8;7,5;15,12;15,25;14;17,75;enp0s31f6;184;173
10;113;94,6;8;11,25;14,75;15;14,62;16,62;enp0s31f6;68;63
11;113;95;8;3,75;15,25;15;14,38;16;enp0s31f6;61;56
12;113;94,5;8;6,25;16;15,62;14,38;20,88;enp0s31f6;231;216
13;112;94,4;8;8,75;15,25;14,88;14,75;16,12;enp0s31f6;114;104
14;112;94,3;8;6,25;15,75;15,38;14;19;enp0s31f6;182;171
15;113;94,9;8;7,5;14,88;15,25;14,5;17,25;enp0s31f6;177;168
16;113;95;8;8,75;17,88;15,38;14,38;19;enp0s31f6;61;57
17;113;94,8;8;10;17,38;15,62;14,38;17,75;enp0s31f6;61;58
18;113;94,7;8;6,25;14,88;15,38;14,5;19,38;enp0s31f6;52;48
19;78,9;66,2;8;7,5;14,88;14,88;14,62;15,38;enp0s31f6;178;171
20;113;94,5;8;3,75;16;15;14,5;16,38;enp0s31f6;110;103
