run;transfer_MB;bandwidth_Mbps;hops;avg_loss_pct;avg_latency_ms;avg_best_ms;avg_worst_ms;avg_stdev_ms;interfaz;rx_pps;tx_pps
1;107;89.7;8;12,50;14,75;14,88;13,50;18,38;enp0s31f6;847;838
2;106;89.3;8;11,25;15,75;15,12;13,38;18,88;enp0s31f6;3776;3667
3;104;87.0;8;13,75;14,75;15,00;13,75;18,50;enp0s31f6;2470;2509
4;98.0;82.2;8;11,25;14,62;15,12;13,75;18,88;enp0s31f6;1327;1260
5;102;85.8;8;12,50;16,75;15,00;13,75;19,62;enp0s31f6;1453;1470
6;106;88.7;8;12,50;14,62;14,50;13,62;15,50;enp0s31f6;1787;1691
7;97.2;81.5;8;12,50;14,62;15,75;13,50;19,88;enp0s31f6;1005;1041
8;104;87.5;8;17,50;16,00;15,12;13,50;18,12;enp0s31f6;1044;1047
9;95.5;80.1;8;15,00;13,12;12,38;11,38;14,25;enp0s31f6;1763;1737
10;107;89.3;8;13,75;14,62;14,88;13,75;17,38;enp0s31f6;762;777
