run;cycles;instructions;cache-references;cache-misses;r_avg;in_avg;cs_avg;us_avg;sy_avg;id_avg;st_avg;usr_core_avg;idle_core_avg;load1;load5;load15;r_avg_processes;running_avg
1;18536724876;6730316507;1368284683;65525106;2.80;11967.80;20315.40;9.40;3.80;87.00;0.00;0;86.16;0.61;0.49;0.34;2.80;1.00
2;19868654814;7063757216;1454644247;69202360;2.80;13988.60;21491.20;9.60;4.40;86.00;0.00;.03;86.66;0.83;0.56;0.38;2.80;1.00
3;17783857884;6510339381;1329353739;66912019;2.60;12545.60;23077.60;8.40;4.20;87.00;0.00;0;87.50;1.15;0.68;0.42;2.60;1.20
4;19000578078;6808340563;1411049359;67817419;1.20;13303.60;23011.80;9.40;4.60;86.00;0.00;0;87.30;0.84;0.67;0.44;1.20;1.00
5;17661590791;6308545396;1301517336;64073365;1.60;12242.40;17591.20;8.40;4.00;87.40;0.00;0;85.37;0.95;0.74;0.47;1.60;1.20
6;19180862505;6830796060;1396181622;69882143;1.40;13282.60;20925.60;9.00;4.40;86.80;0.00;0;86.54;0.67;0.70;0.47;1.40;1.00
7;18011321499;6512363650;1321464016;70930738;1.00;14130.20;27850.40;10.60;4.80;84.40;0.00;0;87.36;0.98;0.79;0.52;1.00;1.20
8;18817887048;6815037516;1395764954;71777161;2.00;13917.80;23995.40;10.40;4.40;85.00;0.00;0;85.26;0.91;0.80;0.54;2.00;1.00
9;18560021133;6608838595;1360036140;70970092;1.60;14153.80;22659.40;10.20;4.60;85.40;0.00;0;85.90;0.73;0.77;0.54;1.60;1.00
10;19189367963;6940429450;1420662230;70562949;1.60;13843.40;22928.40;9.40;4.20;86.60;0.00;0;87.10;0.57;0.73;0.54;1.60;1.20
