run;transfer_MB;bandwidth_Mbps;hops;avg_loss_pct;avg_latency_ms;avg_best_ms;avg_worst_ms;avg_stdev_ms;interfaz;rx_pps;tx_pps
1;263;221;8;7,50;14,88;14,62;14,12;16,12;enp6s18;3661;4224
2;264;222;8;3,75;16,12;15,62;14,25;22,00;enp6s18;3244;3720
3;236;198;8;5,00;15,75;15,50;14,38;18,38;enp6s18;3868;4391
4;255;214;8;6,25;16,50;15,25;14,38;17,88;enp6s18;3799;4309
5;256;215;8;3,75;14,88;14,88;14,25;17,00;enp6s18;3566;4106
6;264;222;8;5,00;15,62;15,25;14,25;17,75;enp6s18;4330;4987
7;248;208;8;8,75;14,75;14,88;14,25;16,25;enp6s18;3956;4548
8;244;205;8;7,50;15,75;14,88;14,38;16,75;enp6s18;3733;4273
9;242;203;8;7,50;15,00;15,38;14,12;17,00;enp6s18;3934;4537
10;237;199;8;3,75;16,12;15,00;14,25;16,62;enp6s18;3772;4306
