Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/Categorias,117383,8,9,15.361369972654321,2.424799997243099,883.2107999915024,122.99959108218397,146.9262146875875,0.010013457804798821,9,11,13,15,25,43,94,140,480,810,880
GET,/Mesas,29608,0,9,15.760643187667148,2.989000000525266,848.577299999306,1691.3718589570387,37.05980733556044,0.0,9,12,14,16,26,44,93,140,330,760,850
GET,/Pedidos/5925,88357,2,9,16.13901145014618,2.993699992657639,880.2622000075644,359.9918512398565,110.59488640732619,0.0025033644511997053,9,12,14,16,26,44,92,140,500,860,880
GET,/Productos,117383,0,10,15.662226305380345,2.8352999943308532,887.3086999956286,754.0,146.9262146875875,0.0,10,13,15,18,26,40,80,130,230,840,890
PUT,Abrir Mesa,117323,65,15,37.494496840362345,5.655800006934442,8296.041699999478,166.24887703178405,146.8511137540515,0.08135934466399043,15,19,23,27,44,76,160,270,3600,7800,8300
POST,Agregar Item,293499,8738,17,25.834793808501345,5.049299987149425,5005.577799995081,106.46093853812108,367.3674815313312,10.937199287291513,17,21,24,27,41,65,130,180,870,2000,5000
PUT,Cerrar Mesa,117228,3068,17,31.878976252267137,5.080700007965788,8174.0690000006,59.66854335141775,146.73220394261955,3.840161068140348,17,21,25,28,41,66,130,180,1900,7700,8200
,Aggregated,880781,11881,14,24.129539793672233,2.424799997243099,8296.041699999478,275.4108013229168,1102.457922346064,14.87123652235185,14,17,21,24,36,58,120,170,1100,6500,8300
