run;cycles;instructions;cache-references;cache-misses;r_avg;in_avg;cs_avg;us_avg;sy_avg;id_avg;st_avg;usr_core_avg;idle_core_avg;load1;load5;load15;r_avg_processes;running_avg
1;29434509699;17889020984;2723542820;388149609;8.40;5516.80;28945.00;39.60;12.60;48.20;0.00;.16;35.29;6.25;1.76;0.60;8.40;2.40
2;33737534964;25147884709;2889783090;413509296;9.40;6043.80;30508.40;40.60;13.20;45.80;0.00;.52;31.05;4.17;2.01;0.76;9.40;5.20
3;31066495773;25591313596;2532014762;362755580;10.80;5452.40;38908.80;45.40;13.60;40.40;0.00;.62;41.05;4.22;2.65;1.11;10.80;2.20
4;36889052630;36537197644;2802277413;416488308;7.60;4603.60;33307.40;37.60;10.80;51.00;0.00;.43;37.59;6.40;3.39;1.46;7.60;5.00
5;34253562111;36271561825;2532237918;379627600;13.60;5498.20;35937.80;46.20;11.80;41.20;0.00;.53;31.78;6.65;4.28;1.96;13.60;3.00
6;38522795550;44787513646;2618483480;395679801;6.60;5343.80;45218.00;46.60;12.00;41.00;0.00;.36;37.67;5.81;4.51;2.20;6.60;5.40
7;36943354819;45031502953;2527574930;386670055;15.40;4894.60;39098.40;44.80;11.00;43.60;0.00;.76;35.10;5.49;4.60;2.37;15.40;4.80
8;47987763692;63646496964;3033060890;494967463;16.40;5728.40;37555.80;46.60;10.20;42.40;0.00;.60;34.32;9.66;5.87;2.95;16.40;5.60
9;44803439256;62121199057;2843141037;463264267;23.00;5168.20;29326.60;50.00;11.00;38.80;0.00;.36;31.11;11.08;6.88;3.48;23.00;7.40
10;40299206755;57949847265;2473639792;414903999;8.40;4922.40;36168.60;46.00;10.60;42.80;0.00;.19;33.21;16.52;8.98;4.41;8.40;6.60
