run;latencia_ms_promedio;threads;block_size;total_size;total_operations;total_time_s;min_latency_ms;avg_latency_ms;max_latency_ms;swpd_avg;free_avg;buff_avg;cache_avg;si_avg;so_avg;mem_used;mem_free
1;0,000016;1;1024KiB;128MiB;128;0.0058;0.04;0.04;0.07;0;13839004;23604;1006940;0;0;2014;13515
2;0,000016;1;1024KiB;128MiB;128;0.0058;0.04;0.04;0.05;0;13767340;23700;1007860;0;0;2085;13444
3;0,000016;1;1024KiB;128MiB;128;0.0058;0.04;0.04;0.05;0;13752424;23796;1008696;0;0;2101;13426
4;0,000016;1;1024KiB;128MiB;128;0.0058;0.04;0.04;0.05;0;13760064;23900;1009572;0;0;2086;13441
5;0,000016;1;1024KiB;128MiB;128;0.0066;0.04;0.05;0.87;0;13748900;23996;1010636;0;0;2089;13437
6;0,000016;1;1024KiB;128MiB;128;0.0058;0.04;0.04;0.06;0;13759220;24168;1011532;0;0;2105;13420
7;0,000016;1;1024KiB;128MiB;128;0.0066;0.04;0.05;0.67;0;13731732;24264;1012408;0;0;2100;13424
8;0,000016;1;1024KiB;128MiB;128;0.0058;0.04;0.04;0.05;0;13732556;24360;1013248;0;0;2108;13415
9;0,000016;1;1024KiB;128MiB;128;0.0058;0.04;0.04;0.06;0;13739816;24464;1014020;0;0;2124;13398
10;0,000016;1;1024KiB;128MiB;128;0.0059;0.04;0.04;0.08;0;13734420;24560;1014960;0;0;2095;13427
