run;cycles;instructions;cache-references;cache-misses;r_avg;in_avg;cs_avg;us_avg;sy_avg;id_avg;st_avg;usr_core_avg;idle_core_avg;load1;load5;load15;r_avg_processes;running_avg
1;27386841390;15125059200;2543587132;353947710;3.40;5018.00;31233.80;36.80;15.40;47.20;0.00;.77;44.51;4.28;5.52;5.25;3.40;1.40
2;30769163334;24972612541;2507432019;364775409;6.20;4735.60;33747.40;37.80;13.80;48.00;0.00;.56;41.67;5.39;5.41;5.23;6.20;2.00
3;33659017046;34111662025;2584781877;421480210;18.00;5146.00;35990.60;46.80;14.00;38.60;0.00;.69;33.49;6.55;5.48;5.25;18.00;2.40
4;36784320777;39112602825;2576854539;409335243;3.60;4828.60;37382.40;39.80;12.20;47.20;0.00;.50;42.34;8.75;6.17;5.50;3.60;2.00
5;42721952305;50536118264;2931683704;473268306;10.80;4492.00;30155.60;39.80;11.40;48.40;0.00;.40;42.30;9.01;6.50;5.64;10.80;5.20
6;53526022281;64512482777;3599526116;597449870;8.80;5263.00;40252.00;39.20;12.40;48.00;0.00;.60;42.46;7.78;6.64;5.75;8.80;5.20
7;43545262812;55710698614;2687065410;461441472;10.40;5604.20;49602.00;42.40;11.40;45.40;0.00;.43;31.68;7.54;6.78;5.85;10.40;1.20
8;42660225231;57555190328;2651887715;452771177;12.00;4647.60;35605.60;42.00;11.40;46.60;0.00;.63;41.93;7.32;6.60;5.84;12.00;3.60
9;46319762792;64791501155;2726105635;478721621;8.60;5605.00;45646.60;47.00;11.20;41.20;0.00;.69;37.78;8.41;7.01;6.03;8.60;4.60
10;41347073115;52604016557;2661509006;447815724;6.20;4813.00;41731.20;39.00;11.00;49.80;0.00;.63;43.82;6.06;6.51;5.92;6.20;4.20
