run;transfer_MB;bandwidth_Mbps;hops;avg_loss_pct;avg_latency_ms;avg_best_ms;avg_worst_ms;avg_stdev_ms;interfaz;rx_pps;tx_pps
1;111;93.3;8;11,25;14,38;14,50;14,00;15,12;enp0s31f6;632;727
2;111;93.3;8;11,25;14,25;14,62;13,88;16,62;enp0s31f6;532;632
3;111;93.5;8;6,25;14,88;14,62;13,62;15,62;enp0s31f6;477;569
4;112;94.1;8;5,00;15,00;14,50;13,88;16,00;enp0s31f6;564;635
5;110;92.2;8;5,00;14,38;14,38;13,88;15,50;enp0s31f6;514;572
6;111;93.5;8;5,00;14,25;14,38;13,75;14,88;enp0s31f6;484;585
7;112;93.8;8;7,50;14,50;14,75;14,00;17,25;enp0s31f6;596;681
8;112;94.1;8;7,50;14,25;14,38;14,00;14,88;enp0s31f6;572;659
9;112;93.9;8;7,50;14,38;14,50;14,00;15,00;enp0s31f6;495;560
10;112;93.7;8;6,25;16,25;14,88;14,00;16,62;enp0s31f6;647;738
