run;transfer_MB;bandwidth_Mbps;hops;avg_loss_pct;avg_latency_ms;avg_best_ms;avg_worst_ms;avg_stdev_ms;interfaz;rx_pps;tx_pps
1;110;92.1;8;7,50;16,12;15,38;14,75;17,75;enp0s31f6;1755;1751
2;110;92.1;8;6,25;15,38;15,12;14,75;16,50;enp0s31f6;1230;1238
3;109;91.2;8;10,00;15,50;15,62;14,75;19,75;enp0s31f6;1108;1069
4;109;91.4;8;6,25;15,50;16,12;14,50;23,00;enp0s31f6;4530;4330
5;109;91.1;8;16,25;15,00;15,62;14,62;17,00;enp0s31f6;1005;1011
6;108;91.0;8;7,50;15,12;15,50;14,75;19,00;enp0s31f6;1831;1789
7;108;90.8;8;10,00;16,75;15,62;14,62;18,00;enp0s31f6;1664;1641
8;109;91.6;8;10,00;15,50;15,25;14,50;17,75;enp0s31f6;1873;1884
9;110;91.9;8;10,00;14,88;15,75;14,75;18,75;enp0s31f6;0;0
10;113;94.7;8;8,75;15,25;15,25;14,62;16,88;enp0s31f6;0;0
