run;latencia_ms_promedio;threads;block_size;total_size;total_operations;total_time_s;min_latency_ms;avg_latency_ms;max_latency_ms;swpd_avg;free_avg;buff_avg;cache_avg;si_avg;so_avg;mem_used;mem_free
1;0,000016;1;1024KiB;128MiB;128;0.0058;0.04;0.04;0.07;0;13594440;34036;1414940;0;0;2172;13275
2;0,000016;1;1024KiB;128MiB;128;0.0056;0.04;0.04;0.07;0;13611216;34140;1416480;0;0;2154;13292
3;0,000016;1;1024KiB;128MiB;128;0.0060;0.04;0.05;0.15;0;13615156;34236;1417960;0;0;2149;13295
4;0,000016;1;1024KiB;128MiB;128;0.0058;0.04;0.04;0.06;0;13596600;34380;1419652;0;0;2165;13277
5;0,000016;1;1024KiB;128MiB;128;0.0059;0.04;0.04;0.09;0;13533452;34504;1420908;0;0;2225;13215
6;0,000016;1;1024KiB;128MiB;128;0.0057;0.04;0.04;0.05;0;13515536;34600;1422408;0;0;2241;13198
7;0,000016;1;1024KiB;128MiB;128;0.0059;0.04;0.04;0.07;0;13483080;34696;1423944;0;0;2259;13178
8;0,000016;1;1024KiB;128MiB;128;0.0057;0.04;0.04;0.06;0;13407636;34888;1426252;0;0;2343;13092
9;0,000016;1;1024KiB;128MiB;128;0.0058;0.04;0.04;0.05;0;13387996;35016;1427772;0;0;2360;13073
10;0,000016;1;1024KiB;128MiB;128;0.0058;0.04;0.04;0.08;0;13362596;35112;1429288;0;0;2400;13032
