run;cycles;instructions;cache-references;cache-misses;r_avg;in_avg;cs_avg;us_avg;sy_avg;id_avg;st_avg;usr_core_avg;idle_core_avg;load1;load5;load15;r_avg_processes;running_avg
1;39583453008;40363780293;1263091574;230545059;3.20;7932.40;121420.40;12.00;20.00;67.80;0.00;.27;67.82;1.93;2.08;2.16;3.20;1.20
2;41255423514;41026536341;1344504016;244868872;6.20;7665.40;113927.20;11.60;19.40;68.60;0.00;.40;68.89;2.24;2.15;2.18;6.20;1.20
3;41508416365;41084075348;1349166443;247147140;3.40;7310.60;109908.20;11.40;19.60;69.00;0.00;.33;66.85;2.39;2.24;2.21;3.40;1.00
4;39492392435;40337911484;1236631681;234246011;2.20;7756.20;117368.00;12.20;19.80;67.80;0.00;.29;67.89;2.33;2.29;2.23;2.20;1.00
5;40853328788;41282910851;1308470572;247028326;4.20;7098.80;100019.60;11.00;19.60;69.40;0.00;.30;69.64;2.80;2.42;2.28;4.20;1.00
6;40821306772;41007784252;1303098928;256755025;5.40;7586.20;115747.20;12.00;19.60;68.20;0.00;.26;67.91;2.83;2.56;2.34;5.40;1.40
7;41232853962;41184770960;1357039853;254948475;3.20;7506.00;116095.40;10.80;20.00;69.00;0.00;.30;68.66;2.25;2.44;2.31;3.20;1.00
8;39882958844;40499557673;1264201954;239915821;2.60;7655.00;110394.80;12.40;19.40;68.20;0.00;.33;68.46;1.78;2.28;2.26;2.60;1.00
9;41022208882;41130563122;1320075509;240449244;4.40;7620.80;115261.80;12.00;19.60;68.00;0.00;.33;69.19;2.54;2.48;2.34;4.40;1.00
10;39709892863;40431277186;1282316619;229720771;5.40;6865.20;91367.40;10.60;19.00;69.40;0.00;.26;69.40;2.00;2.33;2.30;5.40;1.20
