run;cycles;instructions;cache-references;cache-misses;r_avg;in_avg;cs_avg;us_avg;sy_avg;id_avg;st_avg;usr_core_avg;idle_core_avg;load1;load5;load15;r_avg_processes;running_avg
1;9573380422;8645279220;609557403;91250883;1.00;1365.20;9233.60;12.80;4.40;82.60;0.00;.13;85.19;0.73;3.08;5.03;1.00;1.00
2;6161801296;3447235732;584980849;75121652;3.80;1442.80;7531.00;15.60;5.20;78.80;0.00;.26;82.36;0.75;2.68;4.77;3.80;2.40
3;6668965145;4031830829;606656808;79419856;1.00;1550.20;8450.80;16.20;6.00;77.20;0.00;.23;78.50;3.24;3.02;4.72;1.00;1.40
4;7603232908;4787965651;680137831;86069197;5.00;1869.20;10060.80;18.40;6.40;74.60;0.00;.23;79.52;2.35;2.72;4.45;5.00;1.40
5;8806988084;6410700742;710403085;89607669;3.80;1732.00;8606.40;18.60;6.40;75.00;0.00;.23;77.57;1.54;2.38;4.21;3.80;1.20
6;7675817129;5500616566;667457841;86204549;1.40;1797.00;8616.40;20.20;6.40;73.20;0.00;.20;78.76;1.31;2.08;3.93;1.40;2.40
7;7125326794;5270599575;612291325;80423848;3.00;1867.60;9818.20;19.00;5.80;75.00;0.00;.19;80.69;2.12;2.07;3.80;3.00;1.00
8;7503656345;6036743647;656316750;88020435;1.40;1931.00;10273.20;22.80;7.60;69.40;0.00;.26;73.36;1.36;1.84;3.59;1.40;1.20
9;8017369817;6712881436;675432600;93523017;2.80;1897.00;10021.00;22.40;7.60;69.80;0.00;.23;77.12;1.87;1.86;3.48;2.80;1.20
10;8561559649;6966808580;682388124;88845601;1.40;1799.20;10087.00;19.80;6.20;73.80;0.00;.19;72.67;1.77;1.78;3.33;1.40;2.00
